RLC1 EMBEDDED CONSTANTS AUDIT — score_claim=false
Scope: every numeric literal in the six changed receiver source files (all lines, including inherited portions). Archive bytes are counted, not code.
Content-selected config is exactly19 bytes: class=1; low=128; high=320; history=16; priorDen=4; minCount=4; residualMax=36; slopeMax=2; widthDen=2; widthMultiplier=3; spanMax=24; bins=0,1,2,4,8,16. It is loaded from RLC1 rider bytes45..63. Forty signed fitted weights occupy bytes5..44; version is byte4. Native sees parsed config only. No TC4 class/map selectors are present in this candidate.
A source literal can equal a selected value without supplying it: e.g.255 is uint8 bound;2 is proven slope-domain ceiling, while the actual slope comes from cfg[7]. Those constants enforce arithmetic safety and cannot reconstruct a selected geometry choice.
New generic arithmetic predeclared before pricing: public shape384x512/K5; HPAC64-cell slots and190 groups; six moment coordinates; Q16=65536; integer root's2-bit shifts, nearest-even half/unit, int64/int128 bounds; binary packing offsets and format/version tags. C cfg indices0..16 label serialized fields, never values.
Inherited literals: exact same source line occurs in move40's same relative file. Their provenance is the immutable move40 format/receiver, with its compliance adjudication by MAIN; no claim of freshly auditing all inherited mechanisms. Inherited mixer lines map to tc3 adaptive receiver algorithm (KT half-count smoothing, ratio clip1/16..16, fixed-log arithmetic, weights/state dimensions); its fitted weights stay counted.
Pins in inflate.py are non-reconstructive archive identity metadata. Proof BLAS1/4 and advisory mode are environmental test controls; normal runtime remains CUDA/T4-declared.
No scorer, GT, source-video, absolute external imports, learned table or per-frame content is added to receiver code. All data-derived scalars are in archive.zip.

LITERAL CENSUS
inflate.py:19 literal=180173 | GENERIC archive integrity pin or explicit proof/device/thread control | ARCHIVE_BYTES = 180173
inflate.sh:30 literal=69 | INHERITED_EXACT_LINE move40/inflate.sh | exit 69
inflate.sh:33 literal=1 | INHERITED_EXACT_LINE move40/inflate.sh | "$CCBIN" -O3 -std=c11 -shared -fPIC \
inflate.sh:38 literal=4 | INHERITED_EXACT_LINE move40/inflate.sh | # ddm_rr8 -- the float64 free corrector, lowered to C.  Both attempts sit inside the `if`
inflate.sh:47 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | [[ -f "$F26_CORRECTOR_NATIVE_LIBRARY" ]] || { echo "missing F26 corrector library" >&2; exit 69; }
inflate.sh:47 literal=6 | INHERITED_EXACT_LINE move40/inflate.sh | [[ -f "$F26_CORRECTOR_NATIVE_LIBRARY" ]] || { echo "missing F26 corrector library" >&2; exit 69; }
inflate.sh:47 literal=69 | INHERITED_EXACT_LINE move40/inflate.sh | [[ -f "$F26_CORRECTOR_NATIVE_LIBRARY" ]] || { echo "missing F26 corrector library" >&2; exit 69; }
inflate.sh:48 literal=1 | INHERITED_EXACT_LINE move40/inflate.sh | elif "$CCBIN" -O3 -std=c11 -shared -fPIC -ffp-contract=off -fno-fast-math \
inflate.sh:50 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | -o "$BUILD_DIR/f26_corrector_native.so" 2>/dev/null; then
inflate.sh:53 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | echo "f26 corrector native build unavailable; using the python corrector" >&2
inflate.sh:53 literal=6 | INHERITED_EXACT_LINE move40/inflate.sh | echo "f26 corrector native build unavailable; using the python corrector" >&2
inflate.sh:58 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | [[ -f "$F26_HPAC_NATIVE_LIBRARY" ]] || { echo "missing F26 native library" >&2; exit 69; }
inflate.sh:58 literal=6 | INHERITED_EXACT_LINE move40/inflate.sh | [[ -f "$F26_HPAC_NATIVE_LIBRARY" ]] || { echo "missing F26 native library" >&2; exit 69; }
inflate.sh:58 literal=69 | INHERITED_EXACT_LINE move40/inflate.sh | [[ -f "$F26_HPAC_NATIVE_LIBRARY" ]] || { echo "missing F26 native library" >&2; exit 69; }
inflate.sh:63 literal=1 | INHERITED_EXACT_LINE move40/inflate.sh | "$CCBIN" -O3 -mcpu=native -std=c11 -shared -fPIC -ffp-contract=off -fno-fast-math \
inflate.sh:68 literal=1 | INHERITED_EXACT_LINE move40/inflate.sh | "$CCBIN" -O3 -march=native -std=c11 -shared -fPIC -ffp-contract=off -fno-fast-math \
inflate.sh:75 literal=1 | GENERIC native compiler optimization/std ABI flag | "$CCBIN" -O3 -std=c11 -shared -fPIC "$HERE/runtime/rlc1_geometry.c" -o "$BUILD_DIR/rlc1_geometry.so"
inflate.sh:82 literal=0 | INHERITED_EXACT_LINE move40/inflate.sh | if [[ "$base" != "0" ]]; then
inflate.sh:83 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | echo "unsupported public video: $line" >&2
inflate.sh:84 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | exit 2
runtime/residual_archive.py:42 literal=5 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | NUM_CLASSES = 5
runtime/residual_archive.py:45 literal=25 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | FIXED_STATES = 25
runtime/residual_archive.py:46 literal=6 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | FIXED_BITS = 6
runtime/residual_archive.py:49 literal=16599 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | IHS2_BYTES = 16_599
runtime/residual_archive.py:51 literal=36040 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_BODY_BYTES = 36_040
runtime/residual_archive.py:52 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=10 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=11 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=12 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=13 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=14 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=15 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=2 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=3 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=4 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=5 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=6 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=7 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=8 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:52 literal=9 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | WANS_STREAM_ORDER = (1, 15, 4, 0, 11, 5, 2, 9, 3, 6, 10, 12, 14, 7, 8, 13)
runtime/residual_archive.py:53 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | CAP1_PREFIX = CAP1_MAGIC + bytes((1, 0, 0, 0))
runtime/residual_archive.py:53 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | CAP1_PREFIX = CAP1_MAGIC + bytes((1, 0, 0, 0))
runtime/residual_archive.py:53 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | CAP1_PREFIX = CAP1_MAGIC + bytes((1, 0, 0, 0))
runtime/residual_archive.py:53 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | CAP1_PREFIX = CAP1_MAGIC + bytes((1, 0, 0, 0))
runtime/residual_archive.py:60 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | "dict_size": 1 << 16,
runtime/residual_archive.py:60 literal=16 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | "dict_size": 1 << 16,
runtime/residual_archive.py:61 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | "lc": 0,
runtime/residual_archive.py:62 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | "lp": 1,
runtime/residual_archive.py:63 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | "pb": 0,
runtime/residual_archive.py:65 literal=273 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | "nice_len": 273,
runtime/residual_archive.py:67 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | "depth": 0,
runtime/residual_archive.py:76 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | RX1_CODEC_XZ = 1
runtime/residual_archive.py:77 literal=2 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | RX1_CODEC_BROTLI = 2
runtime/residual_archive.py:78 literal=13373 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | HP4_FRAME_OFFSET_BODY = 13_373
runtime/residual_archive.py:79 literal=2400 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | HP4_FRAME_BYTES = 2_400
runtime/residual_archive.py:80 literal=16593 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | SPLIT_MODEL_SECTION_BYTES = (16_593, 36_040)
runtime/residual_archive.py:80 literal=36040 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | SPLIT_MODEL_SECTION_BYTES = (16_593, 36_040)
runtime/residual_archive.py:81 literal=22183 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | PACKED_CAP1_SECTION_BYTES = 22_183
runtime/residual_archive.py:82 literal=22223 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | CANONICAL_CAP1_SECTION_BYTES = 22_223
runtime/residual_archive.py:112 literal=7 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if len(raw) != (count * bits + 7) // 8:
runtime/residual_archive.py:112 literal=8 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if len(raw) != (count * bits + 7) // 8:
runtime/residual_archive.py:114 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if count * bits % 8 and raw[-1] >> (count * bits % 8):
runtime/residual_archive.py:114 literal=8 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if count * bits % 8 and raw[-1] >> (count * bits % 8):
runtime/residual_archive.py:114 literal=8 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if count * bits % 8 and raw[-1] >> (count * bits % 8):
runtime/residual_archive.py:119 literal=8 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | byte, shift = divmod(offset, 8)
runtime/residual_archive.py:121 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if byte + 1 < len(raw):
runtime/residual_archive.py:122 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | word |= raw[byte + 1] << 8
runtime/residual_archive.py:122 literal=8 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | word |= raw[byte + 1] << 8
runtime/residual_archive.py:123 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | output[index] = (word >> shift) & ((1 << bits) - 1)
runtime/residual_archive.py:123 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | output[index] = (word >> shift) & ((1 << bits) - 1)
runtime/residual_archive.py:128 literal=142 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if len(packed) < 142:
runtime/residual_archive.py:130 literal=102 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | factor_base = packed[102]
runtime/residual_archive.py:131 literal=103 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | factors = factor_base + _unpack_unsigned(packed[103:114], 12, 7)
runtime/residual_archive.py:131 literal=114 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | factors = factor_base + _unpack_unsigned(packed[103:114], 12, 7)
runtime/residual_archive.py:131 literal=12 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | factors = factor_base + _unpack_unsigned(packed[103:114], 12, 7)
runtime/residual_archive.py:131 literal=7 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | factors = factor_base + _unpack_unsigned(packed[103:114], 12, 7)
runtime/residual_archive.py:132 literal=114 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | bias_codes = _unpack_unsigned(packed[114:123], 12, 6)
runtime/residual_archive.py:132 literal=12 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | bias_codes = _unpack_unsigned(packed[114:123], 12, 6)
runtime/residual_archive.py:132 literal=123 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | bias_codes = _unpack_unsigned(packed[114:123], 12, 6)
runtime/residual_archive.py:132 literal=6 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | bias_codes = _unpack_unsigned(packed[114:123], 12, 6)
runtime/residual_archive.py:133 literal=32 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | biases = np.where(bias_codes >= 32, bias_codes - 64, bias_codes).astype(np.int8)
runtime/residual_archive.py:133 literal=64 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | biases = np.where(bias_codes >= 32, bias_codes - 64, bias_codes).astype(np.int8)
runtime/residual_archive.py:134 literal=123 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | lengths = _unpack_unsigned(packed[123:139], 32, 4).astype(np.uint8)
runtime/residual_archive.py:134 literal=139 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | lengths = _unpack_unsigned(packed[123:139], 32, 4).astype(np.uint8)
runtime/residual_archive.py:134 literal=32 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | lengths = _unpack_unsigned(packed[123:139], 32, 4).astype(np.uint8)
runtime/residual_archive.py:134 literal=4 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | lengths = _unpack_unsigned(packed[123:139], 32, 4).astype(np.uint8)
runtime/residual_archive.py:135 literal=139 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | k_base = packed[139]
runtime/residual_archive.py:136 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | ks = (k_base + _unpack_unsigned(packed[140:142], 12, 1)).astype(np.uint8)
runtime/residual_archive.py:136 literal=12 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | ks = (k_base + _unpack_unsigned(packed[140:142], 12, 1)).astype(np.uint8)
runtime/residual_archive.py:136 literal=140 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | ks = (k_base + _unpack_unsigned(packed[140:142], 12, 1)).astype(np.uint8)
runtime/residual_archive.py:136 literal=142 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | ks = (k_base + _unpack_unsigned(packed[140:142], 12, 1)).astype(np.uint8)
runtime/residual_archive.py:138 literal=512 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | np.any(factors > 512)
runtime/residual_archive.py:139 literal=16 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | or np.any(biases < -16)
runtime/residual_archive.py:140 literal=16 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | or np.any(biases > 16)
runtime/residual_archive.py:141 literal=12 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | or np.any(ks >= 12)
runtime/residual_archive.py:145 literal=102 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | packed[:102]
runtime/residual_archive.py:150 literal=142 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | + packed[142:]
runtime/residual_archive.py:152 literal=40 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if len(result) != len(packed) + 40:
runtime/residual_archive.py:163 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if magic != RX1_MAGIC or version != 1 or codec not in (RX1_CODEC_XZ, RX1_CODEC_BROTLI):
runtime/residual_archive.py:168 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if table_mode not in (0, 1) or (reserved & ~SZ1_RESERVED_KNOWN_BITS) or min(hpac_bytes, semantic_bytes, carrier_bytes) <= 0:
runtime/residual_archive.py:168 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if table_mode not in (0, 1) or (reserved & ~SZ1_RESERVED_KNOWN_BITS) or min(hpac_bytes, semantic_bytes, carrier_bytes) <= 0:
runtime/residual_archive.py:168 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if table_mode not in (0, 1) or (reserved & ~SZ1_RESERVED_KNOWN_BITS) or min(hpac_bytes, semantic_bytes, carrier_bytes) <= 0:
runtime/residual_archive.py:170 literal=96 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if model_end + 96 >= len(outer):
runtime/residual_archive.py:222 literal=102 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | _packed_portion = 102 + 40 + (
runtime/residual_archive.py:222 literal=40 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | _packed_portion = 102 + 40 + (
runtime/residual_archive.py:223 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | (int.from_bytes(carrier_body[0:3], "little") + 7) // 8
runtime/residual_archive.py:223 literal=3 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | (int.from_bytes(carrier_body[0:3], "little") + 7) // 8
runtime/residual_archive.py:223 literal=7 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | (int.from_bytes(carrier_body[0:3], "little") + 7) // 8
runtime/residual_archive.py:223 literal=8 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | (int.from_bytes(carrier_body[0:3], "little") + 7) // 8
runtime/residual_archive.py:224 literal=3 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | ) + ((int.from_bytes(carrier_body[3:6], "little") + 7) // 8)
runtime/residual_archive.py:224 literal=6 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | ) + ((int.from_bytes(carrier_body[3:6], "little") + 7) // 8)
runtime/residual_archive.py:224 literal=7 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | ) + ((int.from_bytes(carrier_body[3:6], "little") + 7) // 8)
runtime/residual_archive.py:224 literal=8 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | ) + ((int.from_bytes(carrier_body[3:6], "little") + 7) // 8)
runtime/residual_archive.py:225 literal=9 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if len(carrier_body) >= _packed_portion + 9:
runtime/residual_archive.py:271 literal=12 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | decode_cap1(cap1, frames=600, dimensions=12)
runtime/residual_archive.py:271 literal=600 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | decode_cap1(cap1, frames=600, dimensions=12)
runtime/residual_archive.py:285 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if (magic, version, predictor, codec, flags) != (HP4_MAGIC, 1, 0, 2, 0):
runtime/residual_archive.py:285 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if (magic, version, predictor, codec, flags) != (HP4_MAGIC, 1, 0, 2, 0):
runtime/residual_archive.py:285 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if (magic, version, predictor, codec, flags) != (HP4_MAGIC, 1, 0, 2, 0):
runtime/residual_archive.py:285 literal=2 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if (magic, version, predictor, codec, flags) != (HP4_MAGIC, 1, 0, 2, 0):
runtime/residual_archive.py:287 literal=96 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if model_end + 96 >= len(outer):
runtime/residual_archive.py:294 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | remainder = _decompress_brotli(fields[0])
runtime/residual_archive.py:295 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if fields[1]:
runtime/residual_archive.py:297 literal=2 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | embedding = _decompress_brotli(fields[2])
runtime/residual_archive.py:301 literal=3 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | semantic = _decompress_brotli(fields[3])
runtime/residual_archive.py:302 literal=4 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | carrier = _decompress_brotli(fields[4])
runtime/residual_archive.py:326 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if min(lengths) <= 0 or model_end + 96 >= len(outer):
runtime/residual_archive.py:326 literal=96 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if min(lengths) <= 0 or model_end + 96 >= len(outer):
runtime/residual_archive.py:337 literal=2 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if tuple(map(len, sections[:2])) != SPLIT_MODEL_SECTION_BYTES:
runtime/residual_archive.py:339 literal=2 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | carrier = sections[2]
runtime/residual_archive.py:352 literal=0 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | return b"F24S" + sections[0] + sections[1] + carrier, outer[model_end:]
runtime/residual_archive.py:352 literal=1 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | return b"F24S" + sections[0] + sections[1] + carrier, outer[model_end:]
runtime/residual_archive.py:382 literal=6 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | if len(raw) < 6:
runtime/residual_archive.py:384 literal=3 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | basis_bits = int.from_bytes(raw[:3], "little")
runtime/residual_archive.py:385 literal=3 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | residual_bits = int.from_bytes(raw[3:6], "little")
runtime/residual_archive.py:385 literal=6 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | residual_bits = int.from_bytes(raw[3:6], "little")
runtime/residual_archive.py:389 literal=6 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | 6
runtime/residual_archive.py:390 literal=36 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | + 36
runtime/residual_archive.py:391 literal=96 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | + 96
runtime/residual_archive.py:392 literal=32 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | + 32
runtime/residual_archive.py:393 literal=12 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | + 12
runtime/residual_archive.py:394 literal=7 | INHERITED_EXACT_LINE move40/runtime/residual_archive.py | + (basis_bits + 7) // 8
